"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,#AD15,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD11,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD002 - Reinaldo na área gourmet - calça  - novo",inactive,"Clique de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD004 - Maira",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD005 - Paulo",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - #AD17 - Imagem",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"29 - Máquina 40m² - V2",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,295,1.067797,,300,Diário,22.93,Contínuo,–,–,–,315,72.793651,11,,2.084545,3.492063,13,4.126984,1.763846,10,2.293,,,0,0,,
2026-08-09,2026-08-13,"#AD002 - Reinaldo na área gourmet - calça  - novo",not_delivering,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD001 - Publicação existente - Reinaldo na área gourmet",not_delivering,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - #AD17 -  4937",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
